tip_label;tip label;WJetzID;Feng;IOCOrder;PrumOrder;in_final_set;in_bioclim;region;old_set_check;English;family;order;taxogroup;PassNonPass;devo_mode;devo_mode_full;egg_mass;weight;rel_brain;brain;time_fed;clutch_size;caretakers;longevity;longevity_c;social_bonds;fam_sys;fam_sys_s;food_energy;food_h_level;fibres;foraging_3;move_max;insularity;colonial;empty_col1;longevity_c;clutch_size_c;weight_c;time_fed_c;gs_small;gs_large;grouping
Accipiter_gentilis;Accipiter gentilis;4767;Accipiter_gentilis;Accipitriformes;Accipitriformes;YES;YES;Holarctic;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;67;1004;;8.16368;67;4;2;22;;c-long;;;202.2;3;0.4;aground_gen;sedentary;continental;acolonial;;;;;;;;asocial
Butastur_teesa;Butastur teesa;4776;NA;NA;NA;NO;NO;Indomalayan;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;NA;325;;4.9;NA;3;2;NA;;c-long;;;193.53;2.7;1.06;aground_gen;sedentary;continental;acolonial;;;;;;;;NA
Butastur_liventer;Butastur liventer;4777;NA;NA;NA;NO;NO;Indomalayan;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;NA;338;;5;NA;2;2;NA;;c-long;;;193.53;2.7;1.06;aground_gen;sedentary;continental;acolonial;;;;;;;;NA
Geranospiza_caerulescens;Geranospiza caerulescens;4779;Geranospiza_caerulescens;Accipitriformes;Accipitriformes;NO;NO;Neotropical;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;40.23272019;196.7815579;;5.8016;NA;2;2;NA;;c-long;;;193.53;2.7;1.06;aground_gen;sedentary;continental;acolonial;;;;;;;;NA
Leucopternis_schistaceus;Leucopternis schistaceus;4784;NA;NA;NA;NO;NO;Neotropical;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;NA;455;;7;NA;NA;2;NA;;c-long;;;202.2;3;0.4;aground_gen;sedentary;continental;acolonial;;;;;;;;NA
Leucopternis_albicollis;Leucopternis albicollis;4790;Pseudastur_albicollis;Accipitriformes;Accipitriformes;NO;NO;Neotropical;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;9.660499722;703.75;;8.1844;NA;1;2;NA;;c-long;;;177.39216;2.8;0.84;aground_gen;sedentary;continental;acolonial;;;;;;;;NA
Buteogallus_anthracinus;Buteogallus anthracinus;4794;Buteogallus_anthracinus;Accipitriformes;Accipitriformes;YES;YES;Neotropical;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;65;996;;7.42812;106.8;2;2;13.5;;c-long;;;155.47432;2.7;1.06;aground_gen;migratory;continental;acolonial;;;;;;;;small_groups
Buteogallus_urubitinga;Buteogallus urubitinga;4798;Buteogallus_urubitinga;Accipitriformes;Accipitriformes;NO;YES;Neotropical;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;79.5;999.75;;10.53612;105;2;2;NA;;c-long;;;168.83908;2.5;2.28;aground_gen;sedentary;continental;acolonial;;;;;;;;pair
Buteogallus_meridionalis;Buteogallus meridionalis;4799;Buteogallus_meridionalis;Accipitriformes;Accipitriformes;YES;YES;Neotropical;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;74;947;;8.12224;327.5;1;2;NA;;c-long;;;177.39216;2.8;0.84;aground_gen;sedentary;continental;acolonial;;;;;;;;large_groups
Parabuteo_unicinctus;Parabuteo unicinctus;4800;Parabuteo_unicinctus;Accipitriformes;Accipitriformes;YES;YES;Neotropical;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;50;883;;8.26728;160;3;2.5;15;;c-long;;;202.2;3;0.4;aground_gen;sedentary;continental;acolonial;;;;;;;;small_groups
Busarellus_nigricollis;Busarellus nigricollis;4801;Busarellus_nigricollis;Accipitriformes;Accipitriformes;NO;NO;Neotropical;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;64;745.5;;9.065;NA;1;2;NA;;c-long;;;113.68472;2.9;0.62;aground_gen;sedentary;continental;acolonial;;;;;;;;NA
Harpyhaliaetus_coronatus;Harpyhaliaetus coronatus;4804;NA;NA;NA;NO;NO;Neotropical;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;125;2950;;4.6;NA;1;NA;NA;;c-long;;;198.633;2.8;0.9;aground_gen;sedentary;continental;acolonial;;;;;;;;small_groups
Buteo_magnirostris;Buteo magnirostris;4807;Rupornis_magnirostris;Accipitriformes;Accipitriformes;NO;NO;Neotropical;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;37;277;;4.72416;NA;2;2;NA;;c-long;;;190.64;2.6;1.28;aground_gen;sedentary;continental;acolonial;;;;;;;;NA
Buteo_lineatus;Buteo lineatus;4808;Buteo_lineatus;Accipitriformes;Accipitriformes;YES;YES;Nearctic;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;57;625.5;;7.44884;115;3;2;22.42;;c-long;;;196.42;2.8;0.84;aground_gen;migratory;continental;acolonial;;;;;;;;asocial
Buteo_platypterus;Buteo platypterus;4810;Buteo_platypterus;Accipitriformes;Accipitriformes;YES;YES;Nearctic;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;42;412.5;;5.30432;50;2;2;18.33;;c-long;;;199.31;2.9;0.62;aground_gen;migratory;continental;acolonial;;;;;;;;asocial
Buteo_swainsoni;Buteo swainsoni;4814;Buteo_swainsoni;Accipitriformes;Accipitriformes;YES;YES;Nearctic;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;61;412.5;;7.62496;72;2;2.5;24.08;;c-long;;;193.53;2.7;1.06;aground_gen;migratory;continental;acolonial;;;;;;;;small_groups
Buteo_galapagoensis;Buteo galapagoensis;4815;NA;NA;NA;NO;YES;Neotropical;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;NA;1082.09583;;8.5988;175;2;2.6;NA;;c-long;;;195.743;2.7;1.12;aground_gen;sedentary;insular;acolonial;;;;;;;;small_groups
